date,heure,convocation,présent
2010-11-20,08:30,,M. Jean-Luc Blanc-Simon
2010-11-20,08:30,,M. Serge Dupouy
2010-11-20,08:30,,M. Jean-Christophe Elineau
2010-11-20,08:30,,M. Jean Fornier de Lachaux
2010-11-20,08:30,,Mme Valérie Gardeils
2010-11-20,08:30,,Mme Nelly Gillet
2010-11-20,08:30,,M. Jacques Lafitte
2010-11-20,08:30,,M. Gilles Laporte
2010-11-20,08:30,,M. Jean-Pierre Lassalle
2010-11-20,08:30,,M. Jean-Jacques Lesbats
2010-11-20,08:30,,M. Alain Marchal
2010-11-20,08:30,,M. Laurent Martinez
2010-11-20,08:30,,Mme Jessy Péan
2010-11-20,08:30,,Mme Fabienne Schaerer
2010-11-20,08:30,,Mme Angéline Sourigues
2008-03-15,09:15,,M. Jean-Luc Blanc-Simon
2008-03-15,09:15,,M. Serge Dupouy
2008-03-15,09:15,,M. Jean-Christophe Elineau
2008-03-15,09:15,,M. Jean Fornier de Lachaux
2008-03-15,09:15,,M. Michel Fourcade
2008-03-15,09:15,,Mme Ingrid Galbert
2008-03-15,09:15,,Mme Valérie Gardeils
2008-03-15,09:15,,Mme Nelly Gillet
2008-03-15,09:15,,M. Gilles Laporte
2008-03-15,09:15,,M. Jean-Pierre Lassalle
2008-03-15,09:15,,M. Alain Marchal
2008-03-15,09:15,,M. Laurent Martinez
2008-03-15,09:15,,Mme Yves Morel
2008-03-15,09:15,,Mme Fabienne Schaerer
2008-03-15,09:15,,Mme Angéline Sourigues
2011-12-12,18:30,2011-12-06,M. Jean-Luc Blanc-Simon
2011-12-12,18:30,2011-12-06,Mme Angélina Sourigues
2011-12-12,18:30,2011-12-06,M. Serge Dupouy
2011-12-12,18:30,2011-12-06,Mme Valérie Gardeils
2011-12-12,18:30,2011-12-06,Mme Nelly Gillet
2011-12-12,18:30,2011-12-06,M. Jean Fornier de Lachaux
2011-12-12,18:30,2011-12-06,M. Jean-Pierre Lassalle
2011-12-12,18:30,2011-12-06,M. Alain Marchal
2011-12-12,18:30,2011-12-06,M. Gilles Laporte
2011-12-12,18:30,2011-12-06,M. Jean-Christophe Elineau
2011-12-12,18:30,2011-12-06,M. Jacques Lafitte
2011-12-12,18:30,2011-12-06,M. Jean-Jacques Lesbats
2008-06-02,20:00,2008-05-23,M. Fourcade Michel
2008-06-02,20:00,2008-05-23,M. Morel Yves
2008-06-02,20:00,2008-05-23,M. Blanc-Simon Jean-Luc
2008-06-02,20:00,2008-05-23,Mme Sourigues Angéline
2008-06-02,20:00,2008-05-23,M. Dupouy Serge
2008-06-02,20:00,2008-05-23,M. Fornier de Lachaux Jean
2008-06-02,20:00,2008-05-23,Melle Galbert Ingrid
2008-06-02,20:00,2008-05-23,M. Lassalle Jean-Pierre
2008-06-02,20:00,2008-05-23,Mme Schaerer Fabienne
2008-06-02,20:00,2008-05-23,M. Laporte Gilles
2008-06-02,20:00,2008-05-23,Mme Gardeils Valérie
2008-06-02,20:00,2008-05-23,M. Martinez Laurent
2008-06-02,20:00,2008-05-23,Mme Gillet Nelly
2008-04-08,18:30,2008-04-01,M. Fourcade Michel
2008-04-08,18:30,2008-04-01,M. Morel Yves
2008-04-08,18:30,2008-04-01,M. Blanc-Simon Jean-Luc
2008-04-08,18:30,2008-04-01,Mme Sourigues Angéline
2008-04-08,18:30,2008-04-01,M. Dupouy Serge
2008-04-08,18:30,2008-04-01,M. Fornier de Lachaux Jean
2008-04-08,18:30,2008-04-01,Melle Galbert Ingrid
2008-04-08,18:30,2008-04-01,M. Lassalle Jean-Pierre
2008-04-08,18:30,2008-04-01,M. Laporte Gilles
2008-04-08,18:30,2008-04-01,Mme Gardeils Valérie
2008-04-08,18:30,2008-04-01,M. Martinez Laurent
2008-04-08,18:30,2008-04-01,M. Elineau Jean-Christophe
2008-04-08,18:30,2008-04-01,Mme Gillet Nelly
2012-12-10,18:30,2012-12-03,M. Jean-Luc Blanc-Simon
2012-12-10,18:30,2012-12-03,Mme Angélina Sourigues
2012-12-10,18:30,2012-12-03,Mme Valérie Gardeils
2012-12-10,18:30,2012-12-03,Mme Nelly Gillet
2012-12-10,18:30,2012-12-03,M. Jean Fornier de Lachaux
2012-12-10,18:30,2012-12-03,M. Jean-Pierre Lassalle
2012-12-10,18:30,2012-12-03,M. Alain Marchal
2012-12-10,18:30,2012-12-03,M. Gilles Laporte
2012-12-10,18:30,2012-12-03,M. Jean-Christophe Elineau
2012-12-10,18:30,2012-12-03,M. Jacques Lafitte
2012-12-10,18:30,2012-12-03,M. Jean-Jacques Lesbats
2012-12-10,18:30,2012-12-03,Mme Jessy Pean
2011-01-10,18:30,2011-01-05,M. Jean-Luc Blanc-Simon
2011-01-10,18:30,2011-01-05,Mme Angélina Sourigues
2011-01-10,18:30,2011-01-05,M. Serge Dupouy
2011-01-10,18:30,2011-01-05,Mme Nelly Gillet
2011-01-10,18:30,2011-01-05,M. Jean Fornier de Lachaux
2011-01-10,18:30,2011-01-05,M. Jean-Pierre Lassalle
2011-01-10,18:30,2011-01-05,Mme Fabienne Schaerer
2011-01-10,18:30,2011-01-05,M. Alain Marchal
2011-01-10,18:30,2011-01-05,M. Gilles Laporte
2011-01-10,18:30,2011-01-05,M. Jean-Christophe Elineau
2011-01-10,18:30,2011-01-05,M. Jacques Lafitte
2011-01-10,18:30,2011-01-05,M. Jean-Jacques Lesbats
2011-01-10,18:30,2011-01-05,Mme Jessy Péan
2012-06-11,20:00,2012-06-05,M. Jean-Luc Blanc-Simon
2012-06-11,20:00,2012-06-05,Mme Angélina Sourigues
2012-06-11,20:00,2012-06-05,M. Serge Dupouy
2012-06-11,20:00,2012-06-05,Mme Valérie Gardeils
2012-06-11,20:00,2012-06-05,Mme Nelly Gillet
2012-06-11,20:00,2012-06-05,M. Jean Fornier de Lachaux
2012-06-11,20:00,2012-06-05,M. Jean-Pierre Lassalle
2012-06-11,20:00,2012-06-05,Mme Fabienne Schaerer
2012-06-11,20:00,2012-06-05,M. Gilles Laporte
2012-06-11,20:00,2012-06-05,M. Jacques Lafitte
2012-06-11,20:00,2012-06-05,M. Jean-Jacques Lesbats
2012-06-11,20:00,2012-06-05,Mme Jessy Pean
2010-05-11,19:00,2010-05-05,M. Fourcade Michel
2010-05-11,19:00,2010-05-05,M. Blanc-Simon Jean-Luc
2010-05-11,19:00,2010-05-05,Mme Sourigues Angéline
2010-05-11,19:00,2010-05-05,M. Dupouy Serge
2010-05-11,19:00,2010-05-05,Mme Nelly Gillet - Fornier de Lachaux Jean
2010-05-11,19:00,2010-05-05,M. Lassalle Jean-Pierre
2010-05-11,19:00,2010-05-05,Mme Schaerer Fabienne
2010-05-11,19:00,2010-05-05,M. Laporte Gilles
2010-05-11,19:00,2010-05-05,Mme Gardeils Valérie
2010-05-11,19:00,2010-05-05,M. Jean-Christophe Elineau
2009-03-11,,2009-03-04,M. Fourcade Michel
2009-03-11,,2009-03-04,M. Blanc-Simon Jean-Luc
2009-03-11,,2009-03-04,Mme Sourigues Angéline
2009-03-11,,2009-03-04,M. Dupouy Serge
2009-03-11,,2009-03-04,M. Fornier de Lachaux Jean
2009-03-11,,2009-03-04,M. Lassalle Jean-Pierre
2009-03-11,,2009-03-04,Mme Schaerer Fabienne
2009-03-11,,2009-03-04,M. Laporte Gilles
2009-03-11,,2009-03-04,Mme Gardeils Valérie
2009-03-11,,2009-03-04,M. Martinez Laurent
2009-03-11,,2009-03-04,M. Elineau Jean-Christophe
2009-03-11,,2009-03-04,Mme Gillet Nelly
2008-09-11,20:00,2008-09-08,M. Fourcade Michel
2008-09-11,20:00,2008-09-08,M. Morel Yves
2008-09-11,20:00,2008-09-08,M. Blanc-Simon Jean-Luc
2008-09-11,20:00,2008-09-08,Mme Sourigues Angéline
2008-09-11,20:00,2008-09-08,M. Dupouy Serge
2008-09-11,20:00,2008-09-08,M. Fornier de Lachaux Jean
2008-09-11,20:00,2008-09-08,M. Lassalle Jean-Pierre
2008-09-11,20:00,2008-09-08,Mme Schaerer Fabienne
2008-09-11,20:00,2008-09-08,M. Marchal Alain
2008-09-11,20:00,2008-09-08,M. Laporte Gilles
2008-09-11,20:00,2008-09-08,Mme Gardeils Valérie
2008-09-11,20:00,2008-09-08,M. Martinez Laurent
2008-09-11,20:00,2008-09-08,M. Elineau Jean-Christophe
2012-04-12,19:00,2012-04-04,M. Jean-Luc Blanc-Simon
2012-04-12,19:00,2012-04-04,Mme Angélina Sourigues
2012-04-12,19:00,2012-04-04,M. Serge Dupouy
2012-04-12,19:00,2012-04-04,Mme Valérie Gardeils
2012-04-12,19:00,2012-04-04,Mme Nelly Gillet
2012-04-12,19:00,2012-04-04,M. Jean Fornier de Lachaux
2012-04-12,19:00,2012-04-04,M. Jean-Pierre Lassalle
2012-04-12,19:00,2012-04-04,Mme Fabienne Schaerer
2012-04-12,19:00,2012-04-04,M. Gilles Laporte
2012-04-12,19:00,2012-04-04,M. Jean-Christophe Elineau
2012-04-12,19:00,2012-04-04,M. Jacques Lafitte
2012-04-12,19:00,2012-04-04,M. Jean-Jacques Lesbats
2010-07-12,20:00,2010-07-07,M. Fourcade Michel
2010-07-12,20:00,2010-07-07,M. Blanc-Simon Jean-Luc
2010-07-12,20:00,2010-07-07,Mme Sourigues Angéline
2010-07-12,20:00,2010-07-07,M. Dupouy Serge
2010-07-12,20:00,2010-07-07,Mme Gillet Nelly
2010-07-12,20:00,2010-07-07,M. Fornier de Lachaux Jean
2010-07-12,20:00,2010-07-07,M. Lassalle Jean-Pierre
2010-07-12,20:00,2010-07-07,M. Marchal Alain
2010-07-12,20:00,2010-07-07,Mme Gardeils Valérie
2010-07-12,20:00,2010-07-07,M. Martinez Laurent
2010-07-12,20:00,2010-07-07,M. Elineau Jean-Christophe
2009-10-12,20:00,2009-10-08,M. Fourcade Michel
2009-10-12,20:00,2009-10-08,M. Blanc-Simon Jean-Luc
2009-10-12,20:00,2009-10-08,Mme Sourigues Angéline
2009-10-12,20:00,2009-10-08,M. Dupouy Serge
2009-10-12,20:00,2009-10-08,M. Fornier de Lachaux Jean
2009-10-12,20:00,2009-10-08,M. Lassalle Jean-Pierre
2009-10-12,20:00,2009-10-08,Mme Schaerer Fabienne
2009-10-12,20:00,2009-10-08,M. Marchal Alain
2009-10-12,20:00,2009-10-08,M. Laporte Gilles
2009-10-12,20:00,2009-10-08,Mme Gardeils Valérie
2009-10-12,20:00,2009-10-08,M. Martinez Laurent
2008-04-14,18:30,2008-04-10,M. Fourcade Michel
2008-04-14,18:30,2008-04-10,M. Morel Yves
2008-04-14,18:30,2008-04-10,M. Blanc-Simon Jean-Luc
2008-04-14,18:30,2008-04-10,Mme Sourigues Angéline
2008-04-14,18:30,2008-04-10,M. Dupouy Serge
2008-04-14,18:30,2008-04-10,M. Fornier de Lachaux Jean
2008-04-14,18:30,2008-04-10,M. Lassalle Jean-Pierre
2008-04-14,18:30,2008-04-10,Mme Schaerer Fabienne
2008-04-14,18:30,2008-04-10,M. Marchal Alain
2008-04-14,18:30,2008-04-10,Mme Gardeils Valérie
2008-04-14,18:30,2008-04-10,M. Martinez Laurent
2008-04-14,18:30,2008-04-10,M. Elineau Jean-Christophe
2008-04-14,18:30,2008-04-10,Mme Gillet Nelly
2009-04-14,20:00,2009-04-09,M. Fourcade Michel
2009-04-14,20:00,2009-04-09,M. Blanc-Simon Jean-Luc
2009-04-14,20:00,2009-04-09,Mme Sourigues Angéline
2009-04-14,20:00,2009-04-09,M. Dupouy Serge
2009-04-14,20:00,2009-04-09,M. Fornier de Lachaux Jean
2009-04-14,20:00,2009-04-09,M. Lassalle Jean-Pierre
2009-04-14,20:00,2009-04-09,Mme Schaerer Fabienne
2009-04-14,20:00,2009-04-09,M. Marchal Alain
2009-04-14,20:00,2009-04-09,Mme Gardeils Valérie
2009-04-14,20:00,2009-04-09,M. Martinez Laurent
2009-04-14,20:00,2009-04-09,M. Elineau Jean-Christophe
2009-04-14,20:00,2009-04-09,Mme Gillet Nelly
2010-04-13,19:00,2010-04-07,M. Fourcade Michel
2010-04-13,19:00,2010-04-07,M. Blanc-Simon Jean-Luc
2010-04-13,19:00,2010-04-07,Mme Sourigues Angéline
2010-04-13,19:00,2010-04-07,M. Dupouy Serge
2010-04-13,19:00,2010-04-07,Mme Gillet Nelly
2010-04-13,19:00,2010-04-07,M. Fornier de Lachaux Jean
2010-04-13,19:00,2010-04-07,M. Lassalle Jean-Pierre
2010-04-13,19:00,2010-04-07,Mme Schaerer Fabienne
2010-04-13,19:00,2010-04-07,M. Marchal Alain
2010-04-13,19:00,2010-04-07,M. Laporte Gilles
2010-04-13,19:00,2010-04-07,Mme Gardeils Valérie
2010-04-13,19:00,2010-04-07,M. Martinez Laurent
2010-04-13,19:00,2010-04-07,M. Elineau Jean-Christophe
2011-02-14,19:00,2011-02-08,M. Jean-Luc Blanc-Simon
2011-02-14,19:00,2011-02-08,Mme Angélina Sourigues
2011-02-14,19:00,2011-02-08,M. Serge Dupouy
2011-02-14,19:00,2011-02-08,Mme Valérie Gardeils
2011-02-14,19:00,2011-02-08,M. Jean Fornier de Lachaux
2011-02-14,19:00,2011-02-08,M. Jean-Pierre Lassalle
2011-02-14,19:00,2011-02-08,Mme Fabienne Schaerer
2011-02-14,19:00,2011-02-08,M. Alain Marchal
2011-02-14,19:00,2011-02-08,M. Gilles Laporte
2011-02-14,19:00,2011-02-08,M. Jean-Christophe Elineau
2011-02-14,19:00,2011-02-08,M. Jacques Lafitte
2011-02-14,19:00,2011-02-08,M. Jean-Jacques Lesbats
2008-10-15,20:00,2008-10-10,M. Fourcade Michel
2008-10-15,20:00,2008-10-10,M. Morel Yves
2008-10-15,20:00,2008-10-10,M. Blanc-Simon Jean-Luc
2008-10-15,20:00,2008-10-10,Mme Sourigues Angéline
2008-10-15,20:00,2008-10-10,M. Dupouy Serge
2008-10-15,20:00,2008-10-10,M. Fornier de Lachaux Jean
2008-10-15,20:00,2008-10-10,M. Lassalle Jean-Pierre
2008-10-15,20:00,2008-10-10,Mme Schaerer Fabienne
2008-10-15,20:00,2008-10-10,M. Marchal Alain
2008-10-15,20:00,2008-10-10,M. Laporte Gilles
2008-10-15,20:00,2008-10-10,Mme Gardeils Valérie
2008-10-15,20:00,2008-10-10,M. Elineau Jean-Christophe
2008-10-15,20:00,2008-10-10,Mme Gillet Nelly
2010-03-16,20:00,2010-03-11,M. Fourcade Michel
2010-03-16,20:00,2010-03-11,M. Blanc-Simon Jean-Luc
2010-03-16,20:00,2010-03-11,Mme Sourigues Angéline
2010-03-16,20:00,2010-03-11,M. Dupouy Serge
2010-03-16,20:00,2010-03-11,Mme Nelly Gillet
2010-03-16,20:00,2010-03-11,M. Fornier de Lachaux Jean
2010-03-16,20:00,2010-03-11,M. Jean-Pierre Lassalle
2010-03-16,20:00,2010-03-11,M. Laporte Gilles
2010-03-16,20:00,2010-03-11,Mme Gardeils Valérie
2012-07-17,19:00,2012-07-11,M. Jean-Luc Blanc-Simon
2012-07-17,19:00,2012-07-11,Mme Angélina Sourigues
2012-07-17,19:00,2012-07-11,M. Serge Dupouy
2012-07-17,19:00,2012-07-11,Mme Valérie Gardeils
2012-07-17,19:00,2012-07-11,M. Jean Fornier de Lachaux
2012-07-17,19:00,2012-07-11,M. Gilles Laporte
2012-07-17,19:00,2012-07-11,M. Jean-Christophe Elineau
2012-07-17,19:00,2012-07-11,M. Jacques Lafitte
2012-07-17,19:00,2012-07-11,Mme Jessy Pean
2012-09-17,18:30,2012-09-11,M. Jean-Luc Blanc-Simon
2012-09-17,18:30,2012-09-11,Mme Angélina Sourigues
2012-09-17,18:30,2012-09-11,M. Serge Dupouy
2012-09-17,18:30,2012-09-11,Mme Valérie Gardeils
2012-09-17,18:30,2012-09-11,Mme Nelly Gillet
2012-09-17,18:30,2012-09-11,M. Jean Fornier de Lachaux
2012-09-17,18:30,2012-09-11,M. Jean-Pierre Lassalle
2012-09-17,18:30,2012-09-11,Mme Fabienne Schaerer
2012-09-17,18:30,2012-09-11,M. Alain Marchal
2012-09-17,18:30,2012-09-11,M. Jacques Lafitte
2012-09-17,18:30,2012-09-11,M. Jean-Jacques Lesbats
2012-09-17,18:30,2012-09-11,Mme Jessy Pean
2009-05-18,20:00,2009-05-13,M. Fourcade Michel
2009-05-18,20:00,2009-05-13,M. Blanc-Simon Jean-Luc
2009-05-18,20:00,2009-05-13,Mme Sourigues Angéline
2009-05-18,20:00,2009-05-13,M. Dupouy Serge
2009-05-18,20:00,2009-05-13,M. Fornier de Lachaux Jean
2009-05-18,20:00,2009-05-13,M. Lassalle Jean-Pierre
2009-05-18,20:00,2009-05-13,Mme Schaerer Fabienne
2009-05-18,20:00,2009-05-13,Mme Gardeils Valérie
